instruction_text,thisN,thisTrialN,thisRepN,key_resp_instruction.keys,key_resp_instruction.rt,key_resp_instruction.duration,clip_file,clip_path,sound_path,movie,subtitles,n_cut,clip_num,first_cut,second_cut,clip_duration,attention_check_question,attention_check_correct,attention_check_distractor_1,attention_check_distractor_2,attention_check_distractor_3,prac_attention_resp.keys,prac_attention_resp.rt,prac_attention_resp.duration,exp_atttention_resp.keys,exp_pause_resp.keys,exp_atttention_resp.rt,exp_atttention_resp.duration,exp_pause_resp.rt,exp_pause_resp.duration,instruction_trials.thisRepN,instruction_trials.thisTrialN,instruction_trials.thisN,instruction_trials.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,thisRow.t,notes,assigned_ls_group,instructions.started,text_instruction.started,key_resp_instruction.started,instructions.stopped,instruction_trials.key_resp_instruction.keys,instruction_trials.key_resp_instruction.rt,instruction_trials.key_resp_instruction.duration,informed_consent.started,slider_informed_consent.started,text_informed_consent.started,informed_consent.stopped,slider_informed_consent.response,slider_informed_consent.rt,begin_practice.started,begin_practice_text.started,begin_practice.stopped,Practice_clip_name,Practice_video_used,Practice_audio_used,Practice_modality,Practice_subtitles,Practice_attention_check,practice_clip.started,prac_feedback.started,prac_fixation_cross.started,prac_fixation_cross.stopped,prac_clip.started,prac_sound.started,prac_sound.stopped,prac_clip.stopped,practice_clip.stopped,Practice_all_cut_rts,practice_attention_check.started,practice_attention_check.stopped,practice_trials.prac_attention_resp.keys,Practice_correct_key_required,prac_attention_resp.started,prac_question.started,prac_options.started,practice_trials.prac_attention_resp.rt,practice_trials.prac_attention_resp.duration,begin_experiment.started,begin_experiment_text.started,begin_experiment_text.stopped,begin_experiment.stopped,video_used,audio_used,condition_modality,experiment_clip.started,exp_fixation_cross.started,exp_fixation_cross.stopped,exp_clip.started,exp_sound.started,exp_clip.stopped,exp_sound.stopped,experiment_clip.stopped,all_cut_rts,experiment_attention_check.started,experiment_attention_check.stopped,experiment_trials.exp_atttention_resp.keys,experiment_pause.started,experiment_pause.stopped,experiment_trials.exp_pause_resp.keys,correct_key_required,exp_atttention_resp.started,exp_question.started,exp_options.started,experiment_trials.exp_atttention_resp.rt,experiment_trials.exp_atttention_resp.duration,exp_pause_text.started,exp_pause_resp.started,exp_countdown.started,experiment_trials.exp_pause_resp.rt,experiment_trials.exp_pause_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,3,3,0,,,,clip_wurst_09_sub_1,clips/clip_wurst_09_sub_1.mp4,audios/clip_wurst_09_sub_1.mp3,wurst,sub,1,9,3666.0,NA,11267,Wer sind die alten Menschen wahrscheinlich?,Großeltern,Eltern,Geschwister,Nachbarn,None,,,,,,,,,,,,,0,3,3,10,,,,,40.61397710000165,,,,,,,,,,,,,,,,,,,clip_hund_02_sub_1,clips/clip_hund_02_sub_1.mp4,audios/clip_hund_02_sub_1.mp3,audiovisual,sub,False,40.608083599974634,40.61397710000165,40.974558699992485,41.17440709998482,41.17440709998482,41.1749770666686,51.10604220000096,51.35720139998011,51.10815429998911,[9.525377000012668],51.216076799988514,51.216159999981755,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,001,2026-03-30_13h59.33.957,exp_sofc,,2025.2.3,60.17111461228291,2026-03-30 13h59.34.470049 +0200,
,4,4,0,,,,clip_weißt_09_sub_1,clips/clip_weißt_09_sub_1.mp4,audios/silence.mp3,weißt,sub,1,9,4866.0,NA,9000,Was macht die Frau?,sie wickelt ein Band auf,sie näht,sie strickt,sie faltet Wäsche,None,,,,,,,,,,,,,0,4,4,5,,,,,51.35720139998011,,,,,,,,,,,,,,,,,,,clip_weißt_10_nosub_1,clips/clip_weißt_10_nosub_1.mp4,audios/clip_weißt_10_nosub_1.mp3,audiovisual,nosub,False,51.35000249999575,51.35720139998011,51.71600590000162,51.917016899999,51.917016899999,51.91636526666504,63.18756289998419,63.18756289998419,62.934127199987415,[6.054566299979342],63.03140629999689,63.03143829997862,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,001,2026-03-30_13h59.33.957,exp_sofc,,2025.2.3,60.17111461228291,2026-03-30 13h59.34.470049 +0200,
,5,5,0,,,,clip_weißt_18_nosub_1,clips/clip_weißt_18_nosub_1.mp4,audios/silence.mp3,weißt,nosub,1,18,5680.0,NA,12000,Wie wirken die Personen?,überrascht,wütend,verzweifelt,gelangweilt,None,,,,,,,,,,,,,0,5,5,7,,,,,63.18756289998419,,,,,,,,,,,,,,,,,,,clip_hund_06_nosub_0,clips/clip_hund_06_nosub_0.mp4,audios/clip_hund_06_nosub_0.mp3,audiovisual,nosub,False,63.18024109999533,63.18756289998419,63.54315499999211,63.74325199998566,63.74325199998566,63.74316356666192,,74.84082169999601,74.62677919998532,[],74.72058379999362,74.72061559997383,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,001,2026-03-30_13h59.33.957,exp_sofc,,2025.2.3,60.17111461228291,2026-03-30 13h59.34.470049 +0200,
,6,6,0,,,,clip_weißt_21_nosub_0,clips/clip_weißt_21_nosub_0.mp4,audios/silence.mp3,weißt,nosub,0,21,NA,NA,10080,Wo stehen die Personen?,am Balkongeländer,am Strand,an einer Bushaltestelle,im Wald,2,4.517756899993401,None,,,,,,,,,,,0,6,6,1,,,,,74.84082169999601,,,,,,,,,,,,,,,,,,,clip_weißt_09_sub_1,clips/clip_weißt_09_sub_1.mp4,audios/silence.mp3,visual,sub,True,74.83375839999644,74.84082169999601,75.22395569999935,75.42499379999936,75.42499379999936,75.42411206665953,76.67570539997541,84.56047399999807,84.45631859998684,[6.173347300005844],84.55486389997532,89.08813829999417,2,2,84.56047399999807,84.56047399999807,84.56047399999807,4.517756899993401,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,001,2026-03-30_13h59.33.957,exp_sofc,,2025.2.3,60.17111461228291,2026-03-30 13h59.34.470049 +0200,
,7,7,0,,,,clip_hund_26_sub_1,clips/clip_hund_26_sub_1.mp4,audios/silence.mp3,hund,sub,0,26,NA,NA,9333,Wie wirkt die Frau?,amüsiert,hasserfüllt,traurig,ängstlich,None,,,,,,,,,,,,,0,7,7,3,,,,,89.20856619998813,,,,,,,,,,,,,,,,,,,clip_weißt_18_nosub_1,clips/clip_weißt_18_nosub_1.mp4,audios/silence.mp3,visual,nosub,False,89.20001059997594,89.20856619998813,89.58798309997655,89.78816359999473,89.78816359999473,89.78852606664101,91.03987449998385,102.04390329998569,101.80726319999667,[],101.91938979999395,101.91942479999852,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,001,2026-03-30_13h59.33.957,exp_sofc,,2025.2.3,60.17111461228291,2026-03-30 13h59.34.470049 +0200,
,8,8,0,,,,clip_hund_28_nosub_0,clips/clip_hund_28_nosub_0.mp4,audios/clip_hund_28_nosub_0.mp3,hund,nosub,0,28,NA,NA,9840,Was steht auf dem Tisch vor den Personen?,Weinflasche mit Gläsern,Wasser,Bier,Kaffee,None,,,,,,,,,,,,,0,8,8,4,,,,,102.04390329998569,,,,,,,,,,,,,,,,,,,clip_wurst_09_sub_1,clips/clip_wurst_09_sub_1.mp4,audios/clip_wurst_09_sub_1.mp3,audiovisual,sub,False,102.0378888999985,102.04390329998569,102.42811359997722,102.627968899993,102.627968899993,102.6275874666501,,114.15122349999729,113.91324959998019,[4.92530619999161],114.02408969998942,114.02412239997648,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,001,2026-03-30_13h59.33.957,exp_sofc,,2025.2.3,60.17111461228291,2026-03-30 13h59.34.470049 +0200,
,9,9,0,,,,clip_hund_06_nosub_0,clips/clip_hund_06_nosub_0.mp4,audios/clip_hund_06_nosub_0.mp3,hund,nosub,0,6,NA,NA,10860,Wie sieht das Studio aus?,unaufgeräumt,sehr ordentlich,komplett leer,stark überfüllt,1,4.527949899988016,None,,,,,,,,,,,0,9,9,2,,,,,114.15122349999729,,,,,,,,,,,,,,,,,,,clip_hund_25_sub_1,clips/clip_hund_25_sub_1.mp4,audios/silence.mp3,visual,sub,True,114.14320029999362,114.15122349999729,114.53613829999813,114.73482679997687,114.73482679997687,114.73569886666179,115.98689879997983,123.18212399998447,123.0667663999775,[6.632832100003725],123.17660909998813,127.72269470000174,1,1,123.18212399998447,123.18212399998447,123.18212399998447,4.527949899988016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,001,2026-03-30_13h59.33.957,exp_sofc,,2025.2.3,60.17111461228291,2026-03-30 13h59.34.470049 +0200,
,10,10,0,,,,clip_weißt_10_nosub_1,clips/clip_weißt_10_nosub_1.mp4,audios/clip_weißt_10_nosub_1.mp3,weißt,nosub,1,10,4280.0,NA,11000,Was macht der Mann?,er greift an den Fernseher,er schaltet das Radio ein,er wirft eine Flasche,er öffnet das Fenster,4,2.1765313000069,None,,,,,,,,,,,0,10,10,6,,,,,127.86929859998054,,,,,,,,,,,,,,,,,,,clip_weißt_05_sub_0,clips/clip_weißt_05_sub_0.mp4,audios/clip_weißt_05_sub_0.mp3,audiovisual,sub,True,127.86267019997467,127.86929859998054,128.23260259997915,128.4322532999795,128.4322532999795,128.43319286665454,138.36444689999917,138.36444689999917,138.2399502999906,[],138.35748949999106,140.5516802999773,4,4,138.36444689999917,138.36444689999917,138.36444689999917,2.1765313000069,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,001,2026-03-30_13h59.33.957,exp_sofc,,2025.2.3,60.17111461228291,2026-03-30 13h59.34.470049 +0200,
,11,11,0,,,,clip_hund_02_sub_1,clips/clip_hund_02_sub_1.mp4,audios/clip_hund_02_sub_1.mp3,hund,sub,1,2,8300.0,NA,9900,Welche Farbe hat der Pullover der Frau?,grün,schwarz,blau,rot,None,,,,,,,,,,,,,0,11,11,8,,,,,140.67531309998594,,,,,,,,,,,,,,,,,,,clip_weißt_21_nosub_0,clips/clip_weißt_21_nosub_0.mp4,audios/silence.mp3,visual,nosub,False,140.6677407999814,140.67531309998594,141.05163129998255,141.2532156999805,141.2532156999805,141.25192426666425,142.50385169999208,151.467914799985,151.3517218999914,[],151.46000929997535,151.46003950000159,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,001,2026-03-30_13h59.33.957,exp_sofc,,2025.2.3,60.17111461228291,2026-03-30 13h59.34.470049 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.4601128999784,151.467914799985,156.57449589998578,156.4581059999764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,001,2026-03-30_13h59.33.957,exp_sofc,,2025.2.3,60.17111461228291,2026-03-30 13h59.34.470049 +0200,
,0,0,0,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,0,0,0,0,156.57449589998578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clips/clip_lied_19_nosub_1.mp4,audios/clip_lied_19_nosub_1.mp3,audiovisual,156.5689318999939,156.97387219997472,157.1749299999792,157.1749299999792,157.1741822666411,168.08363469998585,168.08363469998585,167.87978699998348,[4.9658879000053275],167.97540169997956,167.97544979999657,None,167.97548369999276,167.97550209998735,None,,,,,,,,,,,,399,001,2026-03-30_13h59.33.957,exp_sofc,,2025.2.3,60.17111461228291,2026-03-30 13h59.34.470049 +0200,
,1,0,1,,,,,,,,,,,,,,,,,,,,,,4,None,3.3495593999978155,None,,,,,,,,,,,1,0,1,0,168.08363469998585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clips/clip_hund_08_nosub_1.mp4,audios/silence.mp3,visual,168.07750079999096,168.4845074999903,168.68476229999214,168.68476229999214,168.68468366665573,178.819583399978,169.93585799998255,178.71631579997484,[],178.81315659999382,182.18018440000014,4,182.18025249999482,182.18027979999897,None,4,178.819583399978,178.819583399978,178.819583399978,3.3495593999978155,None,,,,,,399,001,2026-03-30_13h59.33.957,exp_sofc,,2025.2.3,60.17111461228291,2026-03-30 13h59.34.470049 +0200,
,2,0,2,,,,,,,,,,,,,,,,,,,,,,3,None,2.5104303999978583,None,,,,,,,,,,,2,0,2,0,182.31236149999313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clips/clip_claude_20_nosub_1.mp4,audios/silence.mp3,visual,182.30563119999715,182.6811606999836,182.8819674999977,182.8819674999977,182.88103666666237,195.0174505999894,184.13308609998785,194.90219949997845,[6.408821999997599],195.01051599998027,197.53698059997987,3,197.53703169999062,197.53704789999756,None,4,195.0174505999894,195.0174505999894,195.0174505999894,2.5104303999978583,None,,,,,,399,001,2026-03-30_13h59.33.957,exp_sofc,,2025.2.3,60.17111461228291,2026-03-30 13h59.34.470049 +0200,
,3,0,3,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,3,0,3,0,197.64811889998964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clips/clip_claude_06_sub_1.mp4,audios/silence.mp3,visual,197.64162819998455,198.04764089998207,198.24933449999662,198.24933449999662,198.24844316664192,211.03911039998638,199.50007799998275,210.80143639998278,[4.161146700003883],210.89850859998842,210.89853739997488,None,210.8985660999897,210.8985802999814,None,,,,,,,,,,,,399,001,2026-03-30_13h59.33.957,exp_sofc,,2025.2.3,60.17111461228291,2026-03-30 13h59.34.470049 +0200,
,4,0,4,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,4,0,4,0,211.03911039998638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clips/clip_claude_21_nosub_1.mp4,audios/clip_claude_21_nosub_1.mp3,audiovisual,211.03317149999202,211.40542659998755,211.6057985999796,211.6057985999796,211.60547126664122,224.0994421999785,223.87552849997883,223.8757254999946,[10.127000599983148],223.97902159998193,223.9791155999992,None,223.97917049998068,223.97919379998348,None,,,,,,,,,,,,399,001,2026-03-30_13h59.33.957,exp_sofc,,2025.2.3,60.17111461228291,2026-03-30 13h59.34.470049 +0200,
,5,0,5,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,5,0,5,0,224.0994421999785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clips/clip_lied_17_sub_2.mp4,audios/clip_lied_17_sub_2.mp3,audiovisual,224.09362369999872,224.49312040000223,224.6931502999796,224.6931502999796,224.6930535666509,234.9233103999868,234.72625779997907,234.72645029998966,"[2.8013148000172805, 7.843615799996769]",234.81267329998082,234.81270660000155,None,234.8127753000008,234.81280489999335,None,,,,,,,,,,,,399,001,2026-03-30_13h59.33.957,exp_sofc,,2025.2.3,60.17111461228291,2026-03-30 13h59.34.470049 +0200,
,6,0,6,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,6,0,6,0,234.9233103999868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clips/clip_wurst_20_sub_0.mp4,audios/silence.mp3,visual,234.9172577999998,235.31800739999744,235.5183502,235.5183502,235.51841706666553,245.73744799999986,236.7696522999904,245.55011549999472,[],245.63708759998553,245.63712719999603,None,245.63716899999417,245.63719339997624,None,,,,,,,,,,,,399,001,2026-03-30_13h59.33.957,exp_sofc,,2025.2.3,60.17111461228291,2026-03-30 13h59.34.470049 +0200,
,7,0,7,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,7,0,7,0,245.73744799999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clips/clip_lied_22_nosub_1.mp4,audios/silence.mp3,visual,245.73146479998832,246.13716589999967,246.337799299974,246.337799299974,246.3371868666475,257.09583159998874,247.5895575999748,256.8707133999851,[6.070679900003597],256.96592019998934,256.96596209998825,None,256.9660418999847,256.96608089999063,None,,,,,,,,,,,,399,001,2026-03-30_13h59.33.957,exp_sofc,,2025.2.3,60.17111461228291,2026-03-30 13h59.34.470049 +0200,
,8,0,8,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,8,0,8,0,257.09583159998874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clips/clip_hund_09_nosub_2.mp4,audios/clip_hund_09_nosub_2.mp3,audiovisual,257.09010649999254,257.4721076999849,257.6722910999961,257.6722910999961,257.6719251666548,269.4551246999763,269.23974549997365,269.2399386999896,"[5.536832300014794, 10.526173699996434]",269.3412897999806,269.34132329997374,None,269.3413582999783,269.34137419998297,None,,,,,,,,,,,,399,001,2026-03-30_13h59.33.957,exp_sofc,,2025.2.3,60.17111461228291,2026-03-30 13h59.34.470049 +0200,
