instruction_text,thisN,thisTrialN,thisRepN,key_resp_instruction.keys,key_resp_instruction.rt,key_resp_instruction.duration,clip_file,clip_path,sound_path,movie,subtitles,n_cut,clip_num,first_cut,second_cut,clip_duration,attention_check_question,attention_check_correct,attention_check_distractor_1,attention_check_distractor_2,attention_check_distractor_3,prac_attention_resp.keys,prac_attention_resp.rt,prac_attention_resp.duration,exp_atttention_resp.keys,exp_pause_resp.keys,exp_atttention_resp.rt,exp_atttention_resp.duration,exp_pause_resp.rt,exp_pause_resp.duration,instruction_trials.thisRepN,instruction_trials.thisTrialN,instruction_trials.thisN,instruction_trials.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,thisRow.t,notes,instructions.started,text_instruction.started,key_resp_instruction.started,instructions.stopped,instruction_trials.key_resp_instruction.keys,instruction_trials.key_resp_instruction.rt,instruction_trials.key_resp_instruction.duration,informed_consent.started,slider_informed_consent.started,text_informed_consent.started,informed_consent.stopped,slider_informed_consent.response,slider_informed_consent.rt,begin_practice.started,begin_practice_text.started,begin_practice.stopped,Practice_clip_name,Practice_video_used,Practice_audio_used,Practice_modality,Practice_subtitles,Practice_attention_check,practice_clip.started,prac_feedback.started,prac_fixation_cross.started,prac_fixation_cross.stopped,prac_clip.started,prac_sound.started,prac_sound.stopped,prac_clip.stopped,practice_clip.stopped,prac_all_cut_rts,practice_attention_check.started,practice_attention_check.stopped,practice_trials.prac_attention_resp.keys,Practice_correct_key_required,prac_attention_resp.started,prac_question.started,prac_options.started,practice_trials.prac_attention_resp.rt,practice_trials.prac_attention_resp.duration,begin_experiment.started,begin_experiment_text.started,begin_experiment.stopped,video_used,audio_used,condition_modality,experiment_clip.started,exp_fixation_cross.started,exp_fixation_cross.stopped,exp_clip.started,exp_sound.started,exp_sound.stopped,exp_clip.stopped,experiment_clip.stopped,all_cut_rts,experiment_attention_check.started,experiment_attention_check.stopped,experiment_trials.exp_atttention_resp.keys,experiment_pause.started,experiment_pause.stopped,experiment_trials.exp_pause_resp.keys,correct_key_required,exp_atttention_resp.started,exp_question.started,exp_options.started,experiment_trials.exp_atttention_resp.rt,experiment_trials.exp_atttention_resp.duration,exp_pause_text.started,exp_pause_resp.started,exp_countdown.started,experiment_trials.exp_pause_resp.rt,experiment_trials.exp_pause_resp.duration,exp_pause_resp.stopped,exp_countdown.stopped,end.started,text_end.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,3,3,0,,,,clip_hund_31_sub_0,clips/clip_hund_31_sub_0.mp4,audios/silence.mp3,hund,sub,1,31,1966.0,NA,8433,Welche Tageszeit ist es?,abends,morgens,mittags,nachts,1,3.0402180999954,None,,,,,,,,,,,0,3,3,9,,,,,95.07730710000033,,,,,,,,,,,,,,,,,,clip_hund_06_nosub_0,clips/clip_hund_06_nosub_0.mp4,audios/clip_hund_06_nosub_0.mp3,audiovisual,nosub,True,95.0699670999893,95.07730710000033,95.45835209998768,95.67541739999433,95.65729979999014,95.65714076666724,,106.65947799998685,106.54192439999315,[],106.65204689999518,109.71452219999628,1,1,106.65947799998685,106.65947799998685,106.65947799998685,3.0402180999954,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,001,2026-04-02_13h31.21.215,exp_sofc,,2025.2.3,60.407411745226796,2026-04-02 13h31.21.983025 +0200,
,4,4,0,,,,clip_weißt_05_sub_0,clips/clip_weißt_05_sub_0.mp4,audios/clip_weißt_05_sub_0.mp3,weißt,sub,0,5,NA,NA,9767,Wer trägt die Leiter?,die Frau,der Mann,beide,keiner,None,,,,,,,,,,,,,0,4,4,0,,,,,109.83668269999907,,,,,,,,,,,,,,,,,,clip_weißt_18_nosub_1,clips/clip_weißt_18_nosub_1.mp4,audios/silence.mp3,visual,nosub,False,109.8293660999916,109.83668269999907,110.21335309999995,110.41379609999422,110.41379609999422,110.41398136665909,111.66557879999164,122.6599767000007,122.43383559999347,[7.019482200004859],122.53308789999573,122.53312519998872,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,001,2026-04-02_13h31.21.215,exp_sofc,,2025.2.3,60.407411745226796,2026-04-02 13h31.21.983025 +0200,
,5,5,0,,,,clip_hund_06_nosub_0,clips/clip_hund_06_nosub_0.mp4,audios/clip_hund_06_nosub_0.mp3,hund,nosub,0,6,NA,NA,10860,Wie sieht das Studio aus?,unaufgeräumt,sehr ordentlich,komplett leer,stark überfüllt,None,,,,,,,,,,,,,0,5,5,2,,,,,122.6599767000007,,,,,,,,,,,,,,,,,,clip_weißt_05_sub_0,clips/clip_weißt_05_sub_0.mp4,audios/clip_weißt_05_sub_0.mp3,audiovisual,sub,False,122.65056299998832,122.6599767000007,123.0349220999924,123.23553890000039,123.23553890000039,123.23436016665461,133.256993899995,133.256993899995,133.0467842999933,[],133.14355109998723,133.1436063000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,001,2026-04-02_13h31.21.215,exp_sofc,,2025.2.3,60.407411745226796,2026-04-02 13h31.21.983025 +0200,
,6,6,0,,,,clip_hund_02_sub_1,clips/clip_hund_02_sub_1.mp4,audios/clip_hund_02_sub_1.mp3,hund,sub,1,2,8300.0,NA,9900,Welche Farbe hat der Pullover der Frau?,grün,schwarz,blau,rot,3,3.3105108000017935,None,,,,,,,,,,,0,6,6,8,,,,,133.256993899995,,,,,,,,,,,,,,,,,,clip_hund_26_sub_1,clips/clip_hund_26_sub_1.mp4,audios/silence.mp3,visual,sub,True,133.2504265999887,133.256993899995,133.64969549998932,133.8519937999954,133.8519937999954,133.85136036665452,135.10187439998845,143.31470669999544,143.21653369998967,[],143.30944049998652,146.6286407000007,3,3,143.31470669999544,143.31470669999544,143.31470669999544,3.3105108000017935,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,001,2026-04-02_13h31.21.215,exp_sofc,,2025.2.3,60.407411745226796,2026-04-02 13h31.21.983025 +0200,
,7,7,0,,,,clip_hund_25_sub_1,clips/clip_hund_25_sub_1.mp4,audios/silence.mp3,hund,sub,1,25,5466.0,NA,8300,Mit was essen die Personen?,mit ihren Händen,mit Messer und Gabel,mit Stäbchen,mit einem Löffel,1,12.24562159999914,None,,,,,,,,,,,0,7,7,11,,,,,146.7463931999955,,,,,,,,,,,,,,,,,,clip_weißt_21_nosub_0,clips/clip_weißt_21_nosub_0.mp4,audios/silence.mp3,visual,nosub,True,146.73939139999857,146.7463931999955,147.1302493999974,147.32951999999932,147.32951999999932,147.32977896665787,148.58143279999786,157.55214399998658,157.42905279999832,[],157.54667869998957,169.79994509999233,1,1,157.55214399998658,157.55214399998658,157.55214399998658,12.24562159999914,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,001,2026-04-02_13h31.21.215,exp_sofc,,2025.2.3,60.407411745226796,2026-04-02 13h31.21.983025 +0200,
,8,8,0,,,,clip_weißt_18_nosub_1,clips/clip_weißt_18_nosub_1.mp4,audios/silence.mp3,weißt,nosub,1,18,5680.0,NA,12000,Wie wirken die Personen?,überrascht,wütend,verzweifelt,gelangweilt,None,,,,,,,,,,,,,0,8,8,7,,,,,169.9666167999967,,,,,,,,,,,,,,,,,,clip_hund_28_nosub_0,clips/clip_hund_28_nosub_0.mp4,audios/clip_hund_28_nosub_0.mp3,audiovisual,nosub,False,169.95849659999658,169.9666167999967,170.3003808999929,170.50082149999798,170.50082149999798,170.5006920666531,,180.5748472999985,180.36464099999284,[],180.4671287999954,180.46716059999017,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,001,2026-04-02_13h31.21.215,exp_sofc,,2025.2.3,60.407411745226796,2026-04-02 13h31.21.983025 +0200,
,9,9,0,,,,clip_hund_28_nosub_0,clips/clip_hund_28_nosub_0.mp4,audios/clip_hund_28_nosub_0.mp3,hund,nosub,0,28,NA,NA,9840,Was steht auf dem Tisch vor den Personen?,Weinflasche mit Gläsern,Wasser,Bier,Kaffee,1,70.12709900000482,None,,,,,,,,,,,0,9,9,4,,,,,180.5748472999985,,,,,,,,,,,,,,,,,,clip_hund_25_sub_1,clips/clip_hund_25_sub_1.mp4,audios/silence.mp3,visual,sub,True,180.56833499998902,180.5748472999985,180.9753417999891,181.17506839999987,181.17506839999987,181.1755350666538,182.42871670000022,189.6286318999919,189.50746109998727,[6.746709500002908],189.6223575999902,259.76556829999026,1,1,189.6286318999919,189.6286318999919,189.6286318999919,70.12709900000482,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,001,2026-04-02_13h31.21.215,exp_sofc,,2025.2.3,60.407411745226796,2026-04-02 13h31.21.983025 +0200,
,10,10,0,,,,clip_weißt_21_nosub_0,clips/clip_weißt_21_nosub_0.mp4,audios/silence.mp3,weißt,nosub,0,21,NA,NA,10080,Wo stehen die Personen?,am Balkongeländer,am Strand,an einer Bushaltestelle,im Wald,None,,,,,,,,,,,,,0,10,10,1,,,,,259.8921473999944,,,,,,,,,,,,,,,,,,clip_wurst_09_sub_1,clips/clip_wurst_09_sub_1.mp4,audios/clip_wurst_09_sub_1.mp3,audiovisual,sub,False,259.8853684999922,259.8921473999944,260.26591149999877,260.46789989998797,260.46789989998797,260.4661118666593,,271.98786459999974,271.7518454999954,[4.953033500001766],271.8486550999951,271.8486910999927,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,001,2026-04-02_13h31.21.215,exp_sofc,,2025.2.3,60.407411745226796,2026-04-02 13h31.21.983025 +0200,
,11,11,0,,,,clip_weißt_09_sub_1,clips/clip_weißt_09_sub_1.mp4,audios/silence.mp3,weißt,sub,1,9,4866.0,NA,9000,Was macht die Frau?,sie wickelt ein Band auf,sie näht,sie strickt,sie faltet Wäsche,None,,,,,,,,,,,,,0,11,11,5,,,,,271.98786459999974,,,,,,,,,,,,,,,,,,clip_weißt_10_nosub_1,clips/clip_weißt_10_nosub_1.mp4,audios/clip_weißt_10_nosub_1.mp3,audiovisual,nosub,False,271.9812588999921,271.98786459999974,272.35467190000054,272.5549524999951,272.5549524999951,272.55489886665987,283.57155839999905,283.67785339998954,283.57269039998937,[5.3658072000107495],283.67123239999637,283.6712675999879,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,001,2026-04-02_13h31.21.215,exp_sofc,,2025.2.3,60.407411745226796,2026-04-02 13h31.21.983025 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.6713994999882,283.67785339998954,288.6715945999895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,001,2026-04-02_13h31.21.215,exp_sofc,,2025.2.3,60.407411745226796,2026-04-02 13h31.21.983025 +0200,
,0,0,0,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,0,0,0,0,288.77566279999155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clips/clip_lied_19_nosub_1.mp4,audios/silence.mp3,visual,288.76966169998923,289.1804134999984,289.3821663999988,289.3821663999988,289.3813226666573,290.6327306999883,300.29880589999084,300.08155629999237,[5.921222900011344],300.18558479999774,300.18562779999047,None,300.18569449998904,300.18572329999006,None,,,,,,,,,,,,,,,,340,001,2026-04-02_13h31.21.215,exp_sofc,,2025.2.3,60.407411745226796,2026-04-02 13h31.21.983025 +0200,
,1,0,1,,,,,,,,,,,,,,,,,,,,,,4,None,4.903223599991179,None,,,,,,,,,,,1,0,1,0,300.29880589999084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clips/clip_wurst_35_nosub_0.mp4,audios/clip_wurst_35_nosub_0.mp3,audiovisual,300.29243839999253,300.6902342999965,300.8909558999876,300.8909558999876,300.89057166666703,,310.30153209999844,310.190351799989,[],310.2958471999882,315.20989980000013,4,315.209953499987,315.20997189999616,None,3,310.30153209999844,310.30153209999844,310.30153209999844,4.903223599991179,None,,,,,,,,,,340,001,2026-04-02_13h31.21.215,exp_sofc,,2025.2.3,60.407411745226796,2026-04-02 13h31.21.983025 +0200,
,2,0,2,,,,,,,,,,,,,,,,,,,,,,1,None,7.994948499996099,None,,,,,,,,,,,2,0,2,0,315.3140410999913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clips/clip_hund_34_sub_1.mp4,audios/silence.mp3,visual,315.30788189999294,315.7190016999957,315.9200809999893,315.9200809999893,315.9191662666601,317.1714432000008,326.46960179999587,326.3535181999905,[],326.4628309999971,334.48172859998886,1,334.48178799999005,334.48181489999115,None,1,326.46960179999587,326.46960179999587,326.46960179999587,7.994948499996099,None,,,,,,,,,,340,001,2026-04-02_13h31.21.215,exp_sofc,,2025.2.3,60.407411745226796,2026-04-02 13h31.21.983025 +0200,
,3,0,3,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,3,0,3,0,334.6187534999917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clips/clip_holo_26_nosub_2.mp4,audios/clip_holo_26_nosub_2.mp3,audiovisual,334.6137568999984,334.9854301999876,335.1858693999966,335.1858693999966,335.1861109666536,,344.59896299999673,344.3843027999974,"[5.950477599995793, 9.267718399991281]",344.4883484999882,344.4883877999964,None,344.4884355999966,344.4884588999994,None,,,,,,,,,,,,,,,,340,001,2026-04-02_13h31.21.215,exp_sofc,,2025.2.3,60.407411745226796,2026-04-02 13h31.21.983025 +0200,
,4,0,4,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,4,0,4,0,344.59896299999673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clips/clip_herz_04_nosub_0.mp4,audios/silence.mp3,visual,344.5932940999919,344.9994752999919,345.1994532999961,345.1994532999961,345.19924116666175,346.45173119999527,356.4211914999905,356.21714999999676,[8.264113000012003],356.3012638999935,356.3013241000008,None,356.3013723999902,356.3013901999948,None,,,,,,,,,,,,,,,,340,001,2026-04-02_13h31.21.215,exp_sofc,,2025.2.3,60.407411745226796,2026-04-02 13h31.21.983025 +0200,
,5,0,5,,,,,,,,,,,,,,,,,,,,,,4,None,11.027487600003951,None,,,,,,,,,,,5,0,5,0,356.4211914999905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clips/clip_wurst_15_nosub_2.mp4,audios/silence.mp3,visual,356.4155674999929,356.80893059998925,357.0091809999867,357.0091809999867,357.0089676666578,358.26079949999985,366.56391499999154,366.4406336999964,"[5.5398996000003535, 8.422319999997853]",366.55818349999026,377.6081539000006,4,377.608201799987,377.6082236999937,None,2,366.56391499999154,366.56391499999154,366.56391499999154,11.027487600003951,None,,,,,,,,,,340,001,2026-04-02_13h31.21.215,exp_sofc,,2025.2.3,60.407411745226796,2026-04-02 13h31.21.983025 +0200,
,6,0,6,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,6,0,6,0,377.73031269999046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clips/clip_hund_01_sub_0.mp4,audios/clip_hund_01_sub_0.mp3,audiovisual,377.72461399999156,378.1084036999964,378.3095413999981,378.3095413999981,378.30866916665786,,389.32759579998674,389.10551419999683,[],389.2045974999928,389.204630799999,None,389.20467449999705,389.2046927999909,None,,,,,,,,,,,,,,,,340,001,2026-04-02_13h31.21.215,exp_sofc,,2025.2.3,60.407411745226796,2026-04-02 13h31.21.983025 +0200,
,7,0,7,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,7,0,7,0,389.32759579998674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clips/clip_lied_18_sub_2.mp4,audios/silence.mp3,visual,389.3220908999938,389.7108206999983,389.9120995999983,389.9120995999983,389.9108264666613,391.16285889998835,400.83622109999123,400.59515609999653,"[5.373317799996585, 8.0284096999967]",400.7058446999872,400.705913599988,None,400.705962299995,400.70598179999797,None,,,,,,,,,,,,,,,,340,001,2026-04-02_13h31.21.215,exp_sofc,,2025.2.3,60.407411745226796,2026-04-02 13h31.21.983025 +0200,
,8,0,8,,,,,,,,,,,,,,,,,,,,,,3,None,3.6225343000114663,None,,,,,,,,,,,8,0,8,0,400.83622109999123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clips/clip_holo_07_nosub_0.mp4,audios/clip_holo_07_nosub_0.mp3,audiovisual,400.83103289999417,401.219076399997,401.41965419999906,401.41965419999906,401.41938786665946,,410.94225129998813,410.82546309998725,[],410.9369353999937,414.573951399987,3,414.57401599999866,414.5740453999897,None,3,410.94225129998813,410.94225129998813,410.94225129998813,3.6225343000114663,None,,,,,,,,,,340,001,2026-04-02_13h31.21.215,exp_sofc,,2025.2.3,60.407411745226796,2026-04-02 13h31.21.983025 +0200,
