instruction_text,thisN,thisTrialN,thisRepN,key_resp_instruction.keys,key_resp_instruction.rt,key_resp_instruction.duration,clip_file,clip_path,sound_path,movie,subtitles,n_cut,clip_num,first_cut,second_cut,clip_duration,attention_check_question,attention_check_correct,attention_check_distractor_1,attention_check_distractor_2,attention_check_distractor_3,prac_attention_resp.keys,prac_attention_resp.rt,prac_attention_resp.duration,exp_atttention_resp.keys,exp_atttention_resp.rt,exp_atttention_resp.duration,exp_pause_resp.keys,exp_pause_resp.rt,exp_pause_resp.duration,instruction_trials.thisRepN,instruction_trials.thisTrialN,instruction_trials.thisN,instruction_trials.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,thisRow.t,notes,instructions.started,text_instruction.started,key_resp_instruction.started,instructions.stopped,instruction_trials.key_resp_instruction.keys,instruction_trials.key_resp_instruction.rt,instruction_trials.key_resp_instruction.duration,informed_consent.started,slider_informed_consent.started,text_informed_consent.started,informed_consent.stopped,slider_informed_consent.response,slider_informed_consent.rt,begin_practice.started,begin_practice_text.started,begin_practice.stopped,Practice_clip_name,Practice_video_used,Practice_audio_used,Practice_modality,Practice_subtitles,Practice_attention_check,practice_clip.started,prac_feedback.started,prac_fixation_cross.started,prac_fixation_cross.stopped,prac_clip.started,prac_sound.started,prac_sound.stopped,prac_clip.stopped,practice_clip.stopped,prac_all_cut_rts,Practice_correct_key_required,practice_attention_check.started,prac_attention_resp.started,prac_question.started,prac_options.started,practice_attention_check.stopped,practice_trials.prac_attention_resp.keys,practice_trials.prac_attention_resp.rt,practice_trials.prac_attention_resp.duration,begin_experiment.started,begin_experiment_text.started,begin_experiment_text.stopped,begin_experiment.stopped,video_used,audio_used,condition_modality,experiment_clip.started,exp_fixation_cross.started,exp_fixation_cross.stopped,exp_clip.started,exp_sound.started,exp_sound.stopped,exp_clip.stopped,experiment_clip.stopped,all_cut_rts,correct_key_required,experiment_attention_check.started,exp_atttention_resp.started,exp_question.started,exp_options.started,experiment_attention_check.stopped,experiment_trials.exp_atttention_resp.keys,experiment_trials.exp_atttention_resp.rt,experiment_trials.exp_atttention_resp.duration,experiment_pause.started,experiment_pause.stopped,experiment_trials.exp_pause_resp.keys,exp_pause_text.started,exp_pause_resp.started,exp_countdown.started,experiment_trials.exp_pause_resp.rt,experiment_trials.exp_pause_resp.duration,end.started,text_end.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,3,3,0,,,,clip_hund_25_sub_1,clips/clip_hund_25_sub_1.mp4,audios/silence.mp3,hund,sub,1,25,5466.0,NA,8300,Mit was essen die Personen?,mit ihren Händen,mit Messer und Gabel,mit Stäbchen,mit einem Löffel,None,,,,,,,,,,,,,0,3,3,11,,,,,86.99323120000008,,,,,,,,,,,,,,,,,,clip_hund_06_nosub_0,clips/clip_hund_06_nosub_0.mp4,audios/clip_hund_06_nosub_0.mp3,audiovisual,nosub,False,86.98747810000077,86.99323120000008,87.3619918000004,87.56115649999992,87.56115649999992,87.56109046666667,,98.67688990000079,98.44616360000055,[0.3541723999996975],,98.55087000000003,,,,98.55095230000006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,001,2026-03-31_16h06.21.339,exp_sofc,,2025.2.3,59.41724751971676,2026-03-31 16h06.22.382603 +0200,
,4,4,0,,,,clip_weißt_18_nosub_1,clips/clip_weißt_18_nosub_1.mp4,audios/silence.mp3,weißt,nosub,1,18,5680.0,NA,12000,Wie wirken die Personen?,überrascht,wütend,verzweifelt,gelangweilt,3,4.267766100000699,None,,,,,,,,,,,0,4,4,7,,,,,98.67688990000079,,,,,,,,,,,,,,,,,,clip_wurst_09_sub_1,clips/clip_wurst_09_sub_1.mp4,audios/clip_wurst_09_sub_1.mp3,audiovisual,sub,True,98.67044040000019,98.67688990000079,99.06298480000078,99.26290360000075,99.26290360000075,99.26369366666701,,110.66052519999994,110.54833899999994,[4.927823399999397],3,110.65734330000032,110.66052519999994,110.66052519999994,110.66052519999994,114.93512550000014,3,4.267766100000699,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,001,2026-03-31_16h06.21.339,exp_sofc,,2025.2.3,59.41724751971676,2026-03-31 16h06.22.382603 +0200,
,5,5,0,,,,clip_weißt_21_nosub_0,clips/clip_weißt_21_nosub_0.mp4,audios/silence.mp3,weißt,nosub,0,21,NA,NA,10080,Wo stehen die Personen?,am Balkongeländer,am Strand,an einer Bushaltestelle,im Wald,None,,,,,,,,,,,,,0,5,5,1,,,,,115.05625680000048,,,,,,,,,,,,,,,,,,clip_hund_26_sub_1,clips/clip_hund_26_sub_1.mp4,audios/silence.mp3,visual,sub,False,115.05064330000005,115.05625680000048,115.43759750000027,115.63617030000023,115.63617030000023,115.63666366666736,116.8880850000005,125.23141260000011,125.00118090000069,[],,125.08757839999998,,,,125.08761050000066,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,001,2026-03-31_16h06.21.339,exp_sofc,,2025.2.3,59.41724751971676,2026-03-31 16h06.22.382603 +0200,
,6,6,0,,,,clip_hund_28_nosub_0,clips/clip_hund_28_nosub_0.mp4,audios/clip_hund_28_nosub_0.mp3,hund,nosub,0,28,NA,NA,9840,Was steht auf dem Tisch vor den Personen?,Weinflasche mit Gläsern,Wasser,Bier,Kaffee,2,2.4679082999991806,None,,,,,,,,,,,0,6,6,4,,,,,125.23141260000011,,,,,,,,,,,,,,,,,,clip_weißt_05_sub_0,clips/clip_weißt_05_sub_0.mp4,audios/clip_weißt_05_sub_0.mp3,audiovisual,sub,True,125.22686700000031,125.23141260000011,125.60129649999999,125.8021432000005,125.8021432000005,125.80167606666716,,135.70451260000027,135.60334760000023,[0.31675629999972443],3,135.70075460000044,135.70451260000027,135.70451260000027,135.70451260000027,138.1798318000001,2,2.4679082999991806,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,001,2026-03-31_16h06.21.339,exp_sofc,,2025.2.3,59.41724751971676,2026-03-31 16h06.22.382603 +0200,
,7,7,0,,,,clip_hund_26_sub_1,clips/clip_hund_26_sub_1.mp4,audios/silence.mp3,hund,sub,0,26,NA,NA,9333,Wie wirkt die Frau?,amüsiert,hasserfüllt,traurig,ängstlich,None,,,,,,,,,,,,,0,7,7,3,,,,,138.3003458000003,,,,,,,,,,,,,,,,,,clip_weißt_18_nosub_1,clips/clip_weißt_18_nosub_1.mp4,audios/silence.mp3,visual,nosub,False,138.29188040000008,138.3003458000003,138.68002840000008,138.8804780999999,138.8804780999999,138.88142736666694,140.13232229999994,151.12004330000036,150.9029384000005,[6.984871800000292],,151.01126170000043,,,,151.0113498999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,001,2026-03-31_16h06.21.339,exp_sofc,,2025.2.3,59.41724751971676,2026-03-31 16h06.22.382603 +0200,
,8,8,0,,,,clip_hund_02_sub_1,clips/clip_hund_02_sub_1.mp4,audios/clip_hund_02_sub_1.mp3,hund,sub,1,2,8300.0,NA,9900,Welche Farbe hat der Pullover der Frau?,grün,schwarz,blau,rot,2,4.436979500000234,None,,,,,,,,,,,0,8,8,8,,,,,151.12004330000036,,,,,,,,,,,,,,,,,,clip_hund_31_sub_0,clips/clip_hund_31_sub_0.mp4,audios/silence.mp3,visual,sub,True,151.11529840000003,151.12004330000036,151.5192035,151.72051120000015,151.72051120000015,151.71953136666733,152.9712238000002,160.28544030000012,160.1835074999999,[3.49459939999997],2,160.28175020000072,160.28544030000012,160.28544030000012,160.28544030000012,164.7312595000003,2,4.436979500000234,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,001,2026-03-31_16h06.21.339,exp_sofc,,2025.2.3,59.41724751971676,2026-03-31 16h06.22.382603 +0200,
,9,9,0,,,,clip_hund_06_nosub_0,clips/clip_hund_06_nosub_0.mp4,audios/clip_hund_06_nosub_0.mp3,hund,nosub,0,6,NA,NA,10860,Wie sieht das Studio aus?,unaufgeräumt,sehr ordentlich,komplett leer,stark überfüllt,None,,,,,,,,,,,,,0,9,9,2,,,,,164.82892410000022,,,,,,,,,,,,,,,,,,clip_hund_25_sub_1,clips/clip_hund_25_sub_1.mp4,audios/silence.mp3,visual,sub,False,164.82415690000016,164.82892410000022,165.24079270000038,165.44086640000023,165.44086640000023,165.44156806666732,166.69253990000016,173.9799722000007,173.77165820000027,[6.727445900000021],,173.8626419000002,,,,173.8626735000007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,001,2026-03-31_16h06.21.339,exp_sofc,,2025.2.3,59.41724751971676,2026-03-31 16h06.22.382603 +0200,
,10,10,0,,,,clip_weißt_05_sub_0,clips/clip_weißt_05_sub_0.mp4,audios/clip_weißt_05_sub_0.mp3,weißt,sub,0,5,NA,NA,9767,Wer trägt die Leiter?,die Frau,der Mann,beide,keiner,None,,,,,,,,,,,,,0,10,10,0,,,,,173.9799722000007,,,,,,,,,,,,,,,,,,clip_weißt_09_sub_1,clips/clip_weißt_09_sub_1.mp4,audios/silence.mp3,visual,sub,False,173.9737395000002,173.9799722000007,174.36445120000008,174.5647374,174.5647374,174.56556676666722,175.81679430000077,183.8134138000005,183.5966225000002,[5.898061599999892],,183.69352359999993,,,,183.6935596000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,001,2026-03-31_16h06.21.339,exp_sofc,,2025.2.3,59.41724751971676,2026-03-31 16h06.22.382603 +0200,
,11,11,0,,,,clip_wurst_09_sub_1,clips/clip_wurst_09_sub_1.mp4,audios/clip_wurst_09_sub_1.mp3,wurst,sub,1,9,3666.0,NA,11267,Wer sind die alten Menschen wahrscheinlich?,Großeltern,Eltern,Geschwister,Nachbarn,None,,,,,,,,,,,,,0,11,11,10,,,,,183.8134138000005,,,,,,,,,,,,,,,,,,clip_hund_28_nosub_0,clips/clip_hund_28_nosub_0.mp4,audios/clip_hund_28_nosub_0.mp3,audiovisual,nosub,False,183.80807090000053,183.8134138000005,184.19619320000038,184.39724230000047,184.39724230000047,184.3965223666667,194.36046590000024,194.36046590000024,194.26193070000045,[],,194.3562692000005,,,,194.35630130000027,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,001,2026-03-31_16h06.21.339,exp_sofc,,2025.2.3,59.41724751971676,2026-03-31 16h06.22.382603 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.35642280000047,194.36046590000024,199.43350460000056,199.34481290000076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,001,2026-03-31_16h06.21.339,exp_sofc,,2025.2.3,59.41724751971676,2026-03-31 16h06.22.382603 +0200,
,0,0,0,,,,,,,,,,,,,,,,,,,,,,2,4.397980400000051,None,None,,,,,,,,,,,0,0,0,0,199.43350460000056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clips/clip_wurst_16_nosub_0.mp4,audios/silence.mp3,visual,199.42798350000066,199.86846870000045,200.0690940000004,200.0690940000004,200.06962236666666,201.32091730000047,210.19465110000056,210.10201580000012,[],2,210.19021890000022,210.19465110000056,210.19465110000056,210.19465110000056,214.60003480000069,2,4.397980400000051,None,214.60008390000075,214.6001064000002,None,,,,,,,,320,001,2026-03-31_16h06.21.339,exp_sofc,,2025.2.3,59.41724751971676,2026-03-31 16h06.22.382603 +0200,
,1,0,1,,,,,,,,,,,,,,,,,,,,,,None,,,None,,,,,,,,,,,1,0,1,0,214.72238790000029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clips/clip_lied_17_sub_2.mp4,audios/silence.mp3,visual,214.71638669999993,215.10064930000044,215.30255960000068,215.30255960000068,215.30125266666735,216.55287190000035,225.54477920000045,225.3345560000007,"[3.244702199999665, 7.990122499999416]",,225.42504820000067,,,,225.4250818999999,None,,,225.4251119999999,225.42512700000043,None,,,,,,,,320,001,2026-03-31_16h06.21.339,exp_sofc,,2025.2.3,59.41724751971676,2026-03-31 16h06.22.382603 +0200,
,2,0,2,,,,,,,,,,,,,,,,,,,,,,None,,,None,,,,,,,,,,,2,0,2,0,225.54477920000045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clips/clip_holo_10_nosub_1.mp4,audios/clip_holo_10_nosub_1.mp3,audiovisual,225.5405438000007,225.92860410000048,226.12931910000043,226.12931910000043,226.12932986666718,236.0947528000006,236.28441720000046,236.0949126000005,[6.107014399999571],,236.1990155000003,,,,236.19905090000066,None,,,236.19908620000024,236.19910750000054,None,,,,,,,,320,001,2026-03-31_16h06.21.339,exp_sofc,,2025.2.3,59.41724751971676,2026-03-31 16h06.22.382603 +0200,
,3,0,3,,,,,,,,,,,,,,,,,,,,,,4,3.4066125999997894,None,None,,,,,,,,,,,3,0,3,0,236.28441720000046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clips/clip_holo_27_sub_1.mp4,audios/silence.mp3,visual,236.27848950000043,236.70134420000068,236.9014074000006,236.9014074000006,236.90139556666716,238.1546640000006,246.9997331000004,246.90024530000028,[5.326833799999804],4,246.99584930000037,246.9997331000004,246.9997331000004,246.9997331000004,250.41397620000043,4,3.4066125999997894,None,250.41403900000023,250.4140651000007,None,,,,,,,,320,001,2026-03-31_16h06.21.339,exp_sofc,,2025.2.3,59.41724751971676,2026-03-31 16h06.22.382603 +0200,
,4,0,4,,,,,,,,,,,,,,,,,,,,,,None,,,None,,,,,,,,,,,4,0,4,0,250.53814480000074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clips/clip_holo_20_sub_1.mp4,audios/clip_holo_20_sub_1.mp3,audiovisual,250.5336167000005,250.9145120000003,251.11538830000063,251.11538830000063,251.11480836666695,260.5461296000003,260.7400320000006,260.5463085000001,[],,260.6419257000007,,,,260.64199090000056,None,,,260.6420238999999,260.6420392,None,,,,,,,,320,001,2026-03-31_16h06.21.339,exp_sofc,,2025.2.3,59.41724751971676,2026-03-31 16h06.22.382603 +0200,
,5,0,5,,,,,,,,,,,,,,,,,,,,,,None,,,None,,,,,,,,,,,5,0,5,0,260.7400320000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clips/clip_hund_09_nosub_2.mp4,audios/silence.mp3,visual,260.7349847000005,261.15599160000056,261.35699680000016,261.35699680000016,261.3561698666674,262.60771300000033,273.1424778999999,272.92521149999993,"[5.407106499999827, 10.5522990999998]",,273.02000410000073,,,,273.02004340000076,None,,,273.0201027000003,273.02013780000016,None,,,,,,,,320,001,2026-03-31_16h06.21.339,exp_sofc,,2025.2.3,59.41724751971676,2026-03-31 16h06.22.382603 +0200,
,6,0,6,,,,,,,,,,,,,,,,,,,,,,None,,,None,,,,,,,,,,,6,0,6,0,273.1424778999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clips/clip_wurst_15_sub_2.mp4,audios/clip_wurst_15_sub_2.mp3,audiovisual,273.1387714000002,273.5249444000001,273.7255395000002,273.7255395000002,273.7248141666671,283.15647890000037,283.3752376000002,283.1566109000005,[5.490577300000041],,283.25513820000015,,,,283.2551776,None,,,283.2552443000004,283.2552798000006,None,,,,,,,,320,001,2026-03-31_16h06.21.339,exp_sofc,,2025.2.3,59.41724751971676,2026-03-31 16h06.22.382603 +0200,
,7,0,7,,,,,,,,,,,,,,,,,,,,,,None,,,None,,,,,,,,,,,7,0,7,0,283.3752376000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clips/clip_lied_18_nosub_2.mp4,audios/clip_lied_18_nosub_2.mp3,audiovisual,283.37127970000074,283.75795240000025,283.9578366000005,283.9578366000005,283.95735296666703,294.8709152000001,294.8709152000001,294.66481640000075,[5.364377400000194],,294.75846960000035,,,,294.7585091000001,None,,,294.7585459000002,294.75857260000066,None,,,,,,,,320,001,2026-03-31_16h06.21.339,exp_sofc,,2025.2.3,59.41724751971676,2026-03-31 16h06.22.382603 +0200,
,8,0,8,,,,,,,,,,,,,,,,,,,,,,None,,,None,,,,,,,,,,,8,0,8,0,294.8709152000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clips/clip_claude_15_sub_0.mp4,audios/clip_claude_15_sub_0.mp3,audiovisual,294.86721470000066,295.27211910000005,295.47284020000006,295.47284020000006,295.4724773666669,307.7057284000002,307.7057284000002,307.49145769999996,[],,307.57678400000077,,,,307.5768237000002,None,,,307.57689460000074,307.5769284000007,None,,,,,,,,320,001,2026-03-31_16h06.21.339,exp_sofc,,2025.2.3,59.41724751971676,2026-03-31 16h06.22.382603 +0200,
