instruction_text,thisN,thisTrialN,thisRepN,key_resp_instruction.keys,key_resp_instruction.rt,key_resp_instruction.duration,clip_file,clip_path,sound_path,movie,subtitles,n_cut,clip_num,first_cut,second_cut,clip_duration,attention_check_question,attention_check_correct,attention_check_distractor_1,attention_check_distractor_2,attention_check_distractor_3,prac_attention_resp.keys,prac_attention_resp.rt,prac_attention_resp.duration,exp_atttention_resp.keys,exp_pause_resp.keys,exp_atttention_resp.rt,exp_atttention_resp.duration,exp_pause_resp.rt,exp_pause_resp.duration,instruction_trials.thisRepN,instruction_trials.thisTrialN,instruction_trials.thisN,instruction_trials.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,thisRow.t,notes,assigned_ls_group,instructions.started,text_instruction.started,key_resp_instruction.started,instructions.stopped,instruction_trials.key_resp_instruction.keys,instruction_trials.key_resp_instruction.rt,instruction_trials.key_resp_instruction.duration,informed_consent.started,slider_informed_consent.started,text_informed_consent.started,informed_consent.stopped,slider_informed_consent.response,slider_informed_consent.rt,begin_practice.started,begin_practice_text.started,begin_practice.stopped,Practice_clip_name,Practice_video_used,Practice_audio_used,Practice_modality,Practice_subtitles,Practice_attention_check,practice_clip.started,prac_feedback.started,prac_fixation_cross.started,prac_fixation_cross.stopped,prac_clip.started,prac_sound.started,prac_clip.stopped,practice_clip.stopped,Practice_all_cut_rts,Practice_correct_key_required,practice_attention_check.started,prac_attention_resp.started,prac_question.started,prac_options.started,practice_attention_check.stopped,practice_trials.prac_attention_resp.keys,practice_trials.prac_attention_resp.rt,practice_trials.prac_attention_resp.duration,prac_sound.stopped,begin_experiment.started,begin_experiment_text.started,begin_experiment_text.stopped,begin_experiment.stopped,video_used,audio_used,condition_modality,experiment_clip.started,exp_fixation_cross.started,exp_clip.started,exp_sound.started,exp_fixation_cross.stopped,exp_sound.stopped,exp_clip.stopped,experiment_clip.stopped,all_cut_rts,experiment_attention_check.started,experiment_attention_check.stopped,experiment_trials.exp_atttention_resp.keys,experiment_pause.started,experiment_pause.stopped,experiment_trials.exp_pause_resp.keys,correct_key_required,exp_atttention_resp.started,exp_question.started,exp_options.started,experiment_trials.exp_atttention_resp.rt,experiment_trials.exp_atttention_resp.duration,exp_pause_text.started,exp_pause_resp.started,exp_countdown.started,exp_pause_resp.stopped,exp_countdown.stopped,experiment_trials.exp_pause_resp.rt,experiment_trials.exp_pause_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,3,3,0,,,,clip_weißt_09_sub_1,clips/clip_weißt_09_sub_1.mp4,audios/silence.mp3,weißt,sub,1,9,4866.0,NA,9000,Was macht die Frau?,sie wickelt ein Band auf,sie näht,sie strickt,sie faltet Wäsche,2,187.87561509999796,None,,,,,,,,,,,0,3,3,5,,,,,49.27168299999903,,,,,,,,,,,,,,,,,,,clip_weißt_21_nosub_0,clips/clip_weißt_21_nosub_0.mp4,audios/silence.mp3,visual,nosub,True,49.263214700011304,49.27168299999903,49.66544079998857,49.86695230001351,49.86695230001351,49.86592656665404,60.09414490000927,59.96547160000773,[],2,60.087223000009544,60.09414490000927,60.09414490000927,60.09414490000927,247.97472100000596,2,187.87561509999796,None,51.118015199986985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600683,001,2026-03-30_14h43.13.745,exp_sofc,,2025.2.3,59.6727783479875,2026-03-30 14h43.14.484219 +0200,
,4,4,0,,,,clip_weißt_10_nosub_1,clips/clip_weißt_10_nosub_1.mp4,audios/clip_weißt_10_nosub_1.mp3,weißt,nosub,1,10,4280.0,NA,11000,Was macht der Mann?,er greift an den Fernseher,er schaltet das Radio ein,er wirft eine Flasche,er öffnet das Fenster,None,,,,,,,,,,,,,0,4,4,6,,,,,248.09220469999127,,,,,,,,,,,,,,,,,,,clip_hund_02_sub_1,clips/clip_hund_02_sub_1.mp4,audios/clip_hund_02_sub_1.mp3,audiovisual,sub,False,248.0862415000156,248.09220469999127,248.47684730001492,248.67713500000536,248.67713500000536,248.67651686666457,258.79594420001376,258.59468080001534,[9.668896899995161],,258.68232280001394,,,,258.68235740001546,None,,,258.79594420001376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600683,001,2026-03-30_14h43.13.745,exp_sofc,,2025.2.3,59.6727783479875,2026-03-30 14h43.14.484219 +0200,
,5,5,0,,,,clip_hund_28_nosub_0,clips/clip_hund_28_nosub_0.mp4,audios/clip_hund_28_nosub_0.mp3,hund,nosub,0,28,NA,NA,9840,Was steht auf dem Tisch vor den Personen?,Weinflasche mit Gläsern,Wasser,Bier,Kaffee,None,,,,,,,,,,,,,0,5,5,4,,,,,258.79594420001376,,,,,,,,,,,,,,,,,,,clip_weißt_09_sub_1,clips/clip_weißt_09_sub_1.mp4,audios/silence.mp3,visual,sub,False,258.7876169999945,258.79594420001376,259.18601320000016,259.4021339000028,259.38567389998934,259.3839626666779,268.65537640001276,268.4158633000043,[5.948640099988552],,268.5286754000117,,,,268.5287083000003,None,,,260.63575590000255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600683,001,2026-03-30_14h43.13.745,exp_sofc,,2025.2.3,59.6727783479875,2026-03-30 14h43.14.484219 +0200,
,6,6,0,,,,clip_wurst_09_sub_1,clips/clip_wurst_09_sub_1.mp4,audios/clip_wurst_09_sub_1.mp3,wurst,sub,1,9,3666.0,NA,11267,Wer sind die alten Menschen wahrscheinlich?,Großeltern,Eltern,Geschwister,Nachbarn,2,3.135021299996879,None,,,,,,,,,,,0,6,6,10,,,,,268.65537640001276,,,,,,,,,,,,,,,,,,,clip_hund_06_nosub_0,clips/clip_hund_06_nosub_0.mp4,audios/clip_hund_06_nosub_0.mp3,audiovisual,nosub,True,268.6475482000096,268.65537640001276,269.03844790000585,269.24026190000586,269.24026190000586,269.23875446667466,280.2516704000009,280.12413209999795,[],2,280.2469401000126,280.2516704000009,280.2516704000009,280.2516704000009,283.3947568000003,2,3.135021299996879,None,280.2516704000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600683,001,2026-03-30_14h43.13.745,exp_sofc,,2025.2.3,59.6727783479875,2026-03-30 14h43.14.484219 +0200,
,7,7,0,,,,clip_weißt_21_nosub_0,clips/clip_weißt_21_nosub_0.mp4,audios/silence.mp3,weißt,nosub,0,21,NA,NA,10080,Wo stehen die Personen?,am Balkongeländer,am Strand,an einer Bushaltestelle,im Wald,None,,,,,,,,,,,,,0,7,7,1,,,,,283.52586059999885,,,,,,,,,,,,,,,,,,,clip_weißt_10_nosub_1,clips/clip_weißt_10_nosub_1.mp4,audios/clip_weißt_10_nosub_1.mp3,audiovisual,nosub,False,283.51920929999324,283.52586059999885,283.8943580999912,284.0966372000112,284.0966372000112,284.0951643666815,295.34691510000266,295.11236780000036,[5.303485500015086],,295.22385660000145,,,,295.22388770000543,None,,,295.1109815000091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600683,001,2026-03-30_14h43.13.745,exp_sofc,,2025.2.3,59.6727783479875,2026-03-30 14h43.14.484219 +0200,
,8,8,0,,,,clip_hund_31_sub_0,clips/clip_hund_31_sub_0.mp4,audios/silence.mp3,hund,sub,1,31,1966.0,NA,8433,Welche Tageszeit ist es?,abends,morgens,mittags,nachts,None,,,,,,,,,,,,,0,8,8,9,,,,,295.34691510000266,,,,,,,,,,,,,,,,,,,clip_hund_28_nosub_0,clips/clip_hund_28_nosub_0.mp4,audios/clip_hund_28_nosub_0.mp3,audiovisual,nosub,False,295.34051400001044,295.34691510000266,295.7316201000067,295.9312874999887,295.9312874999887,295.93181266668057,306.0196556999872,305.797785200004,[],,305.90442740000435,,,,305.90446409999277,None,,,306.0196556999872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600683,001,2026-03-30_14h43.13.745,exp_sofc,,2025.2.3,59.6727783479875,2026-03-30 14h43.14.484219 +0200,
,9,9,0,,,,clip_hund_06_nosub_0,clips/clip_hund_06_nosub_0.mp4,audios/clip_hund_06_nosub_0.mp3,hund,nosub,0,6,NA,NA,10860,Wie sieht das Studio aus?,unaufgeräumt,sehr ordentlich,komplett leer,stark überfüllt,None,,,,,,,,,,,,,0,9,9,2,,,,,306.0196556999872,,,,,,,,,,,,,,,,,,,clip_hund_26_sub_1,clips/clip_hund_26_sub_1.mp4,audios/silence.mp3,visual,sub,False,306.0127775000001,306.0196556999872,306.4145862000005,306.6146376999968,306.6146376999968,306.61538836665954,316.2046107999922,315.981200899987,[],,316.0915234000131,,,,316.09155969999847,None,,,307.8665156000061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600683,001,2026-03-30_14h43.13.745,exp_sofc,,2025.2.3,59.6727783479875,2026-03-30 14h43.14.484219 +0200,
,10,10,0,,,,clip_hund_02_sub_1,clips/clip_hund_02_sub_1.mp4,audios/clip_hund_02_sub_1.mp3,hund,sub,1,2,8300.0,NA,9900,Welche Farbe hat der Pullover der Frau?,grün,schwarz,blau,rot,3,4.765706999984104,None,,,,,,,,,,,0,10,10,8,,,,,316.2046107999922,,,,,,,,,,,,,,,,,,,clip_weißt_05_sub_0,clips/clip_weißt_05_sub_0.mp4,audios/clip_weißt_05_sub_0.mp3,audiovisual,sub,True,316.1988941000018,316.2046107999922,316.5979755000153,316.7994177000073,316.7994177000073,316.79829156666915,326.72895459999563,326.6022892000037,[],3,326.7218084000051,326.72895459999563,326.72895459999563,326.72895459999563,331.50516820000485,3,4.765706999984104,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600683,001,2026-03-30_14h43.13.745,exp_sofc,,2025.2.3,59.6727783479875,2026-03-30 14h43.14.484219 +0200,
,11,11,0,,,,clip_weißt_18_nosub_1,clips/clip_weißt_18_nosub_1.mp4,audios/silence.mp3,weißt,nosub,1,18,5680.0,NA,12000,Wie wirken die Personen?,überrascht,wütend,verzweifelt,gelangweilt,None,,,,,,,,,,,,,0,11,11,7,,,,,331.6156148999871,,,,,,,,,,,,,,,,,,,clip_hund_31_sub_0,clips/clip_hund_31_sub_0.mp4,audios/silence.mp3,visual,sub,False,331.60891609999817,331.6156148999871,332.01619299998856,332.2162496999954,332.2162496999954,332.2175018666642,340.7907298000064,340.6803915000055,[3.347186099999817],,340.7843658000056,,,,340.78439750001417,None,,,333.46794699999737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600683,001,2026-03-30_14h43.13.745,exp_sofc,,2025.2.3,59.6727783479875,2026-03-30 14h43.14.484219 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.78447569999844,340.7907298000064,346.56671630000346,345.782601599989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600683,001,2026-03-30_14h43.13.745,exp_sofc,,2025.2.3,59.6727783479875,2026-03-30 14h43.14.484219 +0200,
,0,0,0,,,,clip_claude_01_nosub_2,clips/clip_claude_01_nosub_2.mp4,audios/clip_claude_01_nosub_2.mp3,claude,nosub,2,1,5540.0,7380.0,10940,Wo befinden sich die Leute im Clip?,Auf einer Hochzeit,Auf einer Beerdigung,Auf einer Geburtstagsparty,Im Supermarkt,,,,None,None,,,,,,,,,,,,,0,0,0,0,346.56671630000346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clips/clip_weißt_14_nosub_2.mp4,audios/clip_weißt_14_nosub_2.mp3,audiovisual,346.55526359999203,346.56671630000346,346.56671630000346,346.5657944333293,346.76706049998756,355.4970170999877,355.6991998000012,355.4972759000084,"[2.1688534000131767, 7.469476300000679]",355.5971101000032,355.597150000016,None,355.5971867000044,355.5972146000131,None,,,,,,,,,,,,,,600683,001,2026-03-30_14h43.13.745,exp_sofc,,2025.2.3,59.6727783479875,2026-03-30 14h43.14.484219 +0200,
,1,1,0,,,,clip_claude_01_sub_2,clips/clip_claude_01_sub_2.mp4,audios/clip_claude_01_sub_2.mp3,claude,sub,2,1,5600.0,7433.0,10933,Wo befinden sich die Leute im Clip?,Auf einer Hochzeit,Auf einer Beerdigung,Auf einer Geburtstagsparty,Im Supermarkt,,,,None,None,,,,,,,,,,,,,0,1,1,1,355.6991998000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clips/clip_hund_05_sub_0.mp4,audios/silence.mp3,visual,355.6931531000009,356.10620619999827,356.30669850000413,356.3063789666669,356.30669850000413,357.55860889999894,367.5265905999986,367.3247054000094,[4.206323799997335],367.4230175999983,367.4230843000114,None,367.4231308999879,367.4231480000017,None,,,,,,,,,,,,,,600683,001,2026-03-30_14h43.13.745,exp_sofc,,2025.2.3,59.6727783479875,2026-03-30 14h43.14.484219 +0200,
,2,2,0,,,,clip_claude_02_nosub_1,clips/clip_claude_02_nosub_1.mp4,audios/clip_claude_02_nosub_1.mp3,claude,nosub, ,2,4640.0,NA,9780,Wie sind die Personen gekleidet?,schick,leger,in Sportkleidung,in Badesachen,,,,None,None,,,,,,,,,,,,,0,2,2,2,367.5265905999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clips/clip_wurst_22_sub_0.mp4,audios/silence.mp3,visual,367.5206157999928,367.93296669999836,368.13434009999037,368.1340535666716,368.13434009999037,369.38611319998745,380.00497489998816,379.8190514000016,[],379.91123629998765,379.911271399993,None,379.91130899998825,379.91132579999976,None,,,,,,,,,,,,,,600683,001,2026-03-30_14h43.13.745,exp_sofc,,2025.2.3,59.6727783479875,2026-03-30 14h43.14.484219 +0200,
,3,3,0,,,,clip_claude_02_sub_1,clips/clip_claude_02_sub_1.mp4,audios/clip_claude_02_sub_1.mp3,claude,sub,1,2,4700.0,NA,9767,Wie sind die Personen gekleidet?,schick,leger,in Sportkleidung,in Badesachen,,,,None,None,,,,,,,,,,,,,0,3,3,3,380.00497489998816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clips/clip_lied_05_nosub_0.mp4,audios/silence.mp3,visual,379.99899240001105,380.4217928000144,380.62176760000875,380.62225676665935,380.62176760000875,381.87352930000634,390.2241956999933,390.01990270000533,[],390.10896919999504,390.1090068999911,None,390.1090433000063,390.1090598999872,None,,,,,,,,,,,,,,600683,001,2026-03-30_14h43.13.745,exp_sofc,,2025.2.3,59.6727783479875,2026-03-30 14h43.14.484219 +0200,
,4,4,0,,,,clip_claude_03_nosub_1,clips/clip_claude_03_nosub_1.mp4,audios/clip_claude_03_nosub_1.mp3,claude,nosub,1,3,4000.0,NA,11500,Was trinken die beiden Personen?,Sekt,Wein,Bier,Wasser,,,,2,None,2.691599399986444,None,,,,,,,,,,,0,4,4,4,390.2241956999933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clips/clip_lied_02_nosub_2.mp4,audios/clip_lied_02_nosub_2.mp3,audiovisual,390.2202542000159,390.61238490001415,390.81277540000156,390.81349066665666,390.81277540000156,401.9302199000085,401.9302199000085,401.8300234999915,"[4.030344500002684, 9.475660800002515]",401.92238689999795,404.6257624000136,2,404.62582190000103,404.6258395999903,None,2,401.9302199000085,401.9302199000085,401.9302199000085,2.691599399986444,None,,,,,,,,600683,001,2026-03-30_14h43.13.745,exp_sofc,,2025.2.3,59.6727783479875,2026-03-30 14h43.14.484219 +0200,
,5,5,0,,,,clip_claude_03_sub_1,clips/clip_claude_03_sub_1.mp4,audios/clip_claude_03_sub_1.mp3,claude,sub,1,3,4066.0,NA,11500,Was trinken die beiden Personen?,Sekt,Wein,Bier,Wasser,,,,None,None,,,,,,,,,,,,,0,5,5,5,404.74132969998755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clips/clip_wurst_01_sub_0.mp4,audios/clip_wurst_01_sub_0.mp3,audiovisual,404.73495049998746,405.1245177999954,405.34193520000554,405.3410244666777,405.32435780001106,415.47557889999007,415.47557889999007,415.27327750000404,[],415.3552222000144,415.3552563000121,None,415.3552902000083,415.35530460000155,None,,,,,,,,,,,,,,600683,001,2026-03-30_14h43.13.745,exp_sofc,,2025.2.3,59.6727783479875,2026-03-30 14h43.14.484219 +0200,
